chim	Chimborazo
C105p	Midwolda (Gn)
C118p	Slochteren (Gn)
C128p	Scheemda (Gn)
C131p	Finsterwolde (Gn)
C149p	Eelde (Dr)
C159p	Veendam (Gn)
C163p	Oude Pekela (Gn)
C165p	Bellingwolde (Gn)
C176p	Norg (Dr)
C181t	Eexterveen (Dr)
C183p	Anloo (Dr)
C189p	Stadskanaal (Gn)
C192p	Onstwedde (Gn)
D001p	Scheveningen (ZH)
D006p	Wateringen (ZH)
E003a	Den Oever (NH)
E006p	Callantsoog (NH)
E009p	Schagen (NH)
E014a	Opperdoes (NH)
E019p	Koedijk (NH)
E027p	Spanbroek (NH)
E030p	Abbekerk (NH)
E040p	Enkhuizen (NH)
E041p	Egmond aan Zee (NH)
E043p	Egmond-Binnen (NH)
E050p	Ursem (NH)
E058p	Hoorn (NH)
E060p	Wijdenes (NH)
E069p	De Rijp (NH)
E076p	Middelie (NH)
E077p	Edam (NH)
E080p	IJmuiden (NH)
E084p	Zaandijk (NH)
E091b	Volendam (NH)
E091p	Monnickendam (NH)
E092p	Marken (NH)
E093p	Zandvoort (NH)
E111p	Diemen (NH)
E117p	Aalsmeer (NH)
E127p	Huizen (NH)
E129p	Laren (NH)
E133p 	Katwijk aan Zee (ZH)
E155p	Loenen (Ut)
E169p	Stompwijk (ZH)
E173p	Koudekerk aan den Rijn (ZH)
E178p	Aarlanderveen (ZH)
E179q	Meije (ZH)
E181p	Zegveld (Ut)
E183p	Kamerik (Ut)
E192p	Utrecht (Ut)
E193q	Groenekan (Ut)
E198h	Delft (ZH ("hoog"))
E198p	Delft (ZH ("laag"))
E200p	Zoetermeer (ZH)
E209p	Gouda (ZH)
E211p	Driebruggen (ZH)
E215p	Oudewater (Ut)
E220p	Benschop (Ut)
E223p	Jutphaas (Ut)
E225p	Vreeswijk (Ut)
E227p	Houten (Ut)
E231p	Werkhoven (Ut)
E232q	Austerlitz (Ut)
F001p	Workum (Fr)
F002p	Hindeloopen (Fr)
F003p	Woudsend (Fr)
F007p	Joure (Fr)
F010p	Tjalleberd (Fr)
F017p	Oudeschoot (Fr)
F020p	Jubbega (Fr)
F026p	Stavoren (Fr)
F028p	Koudum (Fr)
F035p	Sloten (Fr)
F036p	Oudemirdum (Fr)
F038p	Lemmer (Fr)
F040p	Echten (Fr)
F042p	Wolvega (Fr)
F043p	Nijeholtpade (Fr)
F047p	Noordwolde (Fr)
F050a	Wapse (Dr)
F052p	Kuinre (Ov)
F053p	Scherpenzeel (Fr)
F056p	Oldemarkt (Ov)
F060p	Steenwijk (Ov)
F063p	Havelte (Dr)
F065p	Blokzijl (Ov)
F066p	Vollenhove (Ov)
F070p	Giethoorn (Ov)
F074p	Meppel (Dr)
F076p	Koekange (Dr)
F077p	Urk (Fl)
F083p	Zwartsluis (Ov)
F084p	Genemuiden (Ov)
F085p	Hasselt (Ov)
F086p	Rouveen (Ov)
F089p	IJsselmuiden (Ov)
F090p	Kampen (Ov)
F095c	s-Heerenbroek (Ov)
F095p	Zalk (Ov)
F096p	Zwolle (Ov)
F098p	Dalfsen (Ov)
F099p	Doornspijk (Gl)
F100p	Elburg (Gl)
F103p	Hattem (Gl)
F106p	Windesheim (Ov)
F107p	Heino (Ov)
F107q	Hoonhorst (Ov)
F108p	Harderwijk (Gl)
F109p	Hierden (Gl)
F111p	Nunspeet (Gl)
F113p	Heerde (Gl)
F119p	Wijhe (Ov)
F120p	Raalte (Ov)
F121p	Spakenburg (Ut)
F124p	Putten (Gl)
F129p	Vaassen (Gl)
F132p	Diepenveen (Ov)
F133p	Deventer (Ov)
F138p	Bathmen (Ov)
F144p	Voorthuizen (Gl)
F145p	Garderen (Gl)
F151p	Apeldoorn (Gl)
F154p	Teuge (Gl)
F156p	Wilp (Gl)
F158p	Voorst (Gl)
F161p	Gorssel (Gl)
F165p	Amersfoort (Ut)
F169p	Woudenberg (Ut)
F170p	Barneveld (Gl)
F172p	Otterlo (Gl)
F173p	Hoenderloo (Gl)
F175p	Loenen (Gl)
F178p	Brummen (Gl)
F179p	Zutphen (Gl)
F181p	Almen (Gl)
F184p	Vorden (Gl)
F191p	Veenendaal (Ut)
F193p	Ede (Gl)
F197p	Rozendaal (Gl)
F200p	Dieren (Gl)
F204p	Doesburg (Gl)
F205p	Steenderen (Gl)
F206p	Hengelo (Gl)
G001b	Appelscha (Fr)
G002p	Smilde (Dr)
G006p	Hooghalen (Dr)
G009p	Gasselte (Dr)
G015p	Sellingen (Gn)
G015q	Mussel (Gn)
G024p	Dwingeloo (Dr)
G030p	Westerbork (Dr)
G032b	Schoonoord (Dr)
G036p	Valthermond (Dr)
G037p	Ter Apel (Gn)
G039p	Roswinkel (Dr)
G048p	Ruinen (Dr)
G055p	Zuid-Sleen (Dr)
G060a	Barger-Oosterveld (Dr)
G076p	Hollandsche Veld (Dr)
G077p	Zwinderen (Dr)
G081p	Schoonebeek (Dr)
G090a	Balkbrug (Ov)
G091p	Dedemsvaart (Ov)
G092p	Slagharen (Ov)
G095p	Coevorden (Dr)
G102p	Nieuw-Schoonebeek (Dr)
G113p	Hardenberg (Ov)
G115p	Bergentheim (Ov)
G138p	Lemele (Ov)
G139p	Den Ham (Ov)
G168p	Hellendoorn (Ov)
G169p	Nijverdal (Ov)
G171p	Vriezenveen (Ov)
G172p	Wierden (Ov)
G174p	Tubbergen (Ov)
G177b	Tilligte (Ov)
G177p	Ootmarsum (Ov)
G180p	Rossum (Ov)
G197p	Rijssen (Ov)
G201p	Borne (Ov)
G203p	Delden (Ov)
G207p	Oldenzaal (Ov)
G209p	De Lutte (Ov)
G221p	Laren (Gl)
G224p	Stokkum (Ov)
G233p	Usselo (Ov)
G246p	Lochem (Gl)
G248p	Ruurlo (Gl)
G251p	Neede (Gl)
G252p	Borculo (Gl)
G255p	Eibergen (Gl)
G257p	Haaksbergen (Ov)
G278p	Zelhem (Gl)
G279a	Zieuwent (Gl)
G280p	Groenlo (Gl)
H002p	Knokke (BeWv)
H003p	Blankenberge (BeWv)
H016p	Oostende (BeWv)
H036p	Brugge (BeWv)
H046p	Nieuwpoort (BeWv)
H054p	Gistel (BeWv)
H061p	Koekelare (BeWv)
H069p	Oostkamp (BeWv)
H076p	Zuydcoote (FrVl)
H084p	Veurne (BeWv)
H116p	Torhout (BeWv)
H119p	Wingene (BeWv)
I004p	De Lier (ZH)
I009p	Brielle (ZH)
I019p	Ouddorp (ZH)
I021p	Hellevoetsluis (ZH)
I025p	Middelharnis (ZH)
I028p	Goudswaard (ZH)
I029p	Piershil (ZH)
I033p	Haamstede (Ze)
I036p	Brouwershaven (Ze)
I042p	Herkingen (ZH)
I045k	Oude-Tonge (ZH (rk))
I045p	Oude-Tonge (ZH (prot))
I047p	Wissenkerke (Ze)
I049p	Zierikzee (Ze)
I052p	Oosterland (Ze)
I057p	Steenbergen (NB)
I058p	Westkapelle (Ze)
I062a	Serooskerke (Ze)
I065a	Grijpskerke (Ze)
I067p	Kortgene (Ze)
I069p	Goes (Ze)
I073p	Sint Maartensdijk (Ze)
I076p	Oud-Vossemeer (Ze)
I079p	Bergen op Zoom (NB)
I081p	Middelburg (Ze)
I083p	Vlissingen (Ze)
I085p	Arnemuiden (Ze)
I087p	Heinkenszand (Ze)
I095p	Hoedekenskerke (Ze)
I099p	Kruiningen (Ze)
I106p	Zuidzande (Ze)
I108p	Breskens (Ze)
I116c	Kloosterzande (Ze)
I117a	Rilland (Ze)
I118p	Ossendrecht (NB)
I119p	Zandvliet (BeAnt)
I125p	Aardenburg (Ze)
I126p	Middelburg (BeOv)
I128p	IJzendijke (Ze)
I133p	Watervliet (BeOv)
I140p	Axel (Ze)
I143p	Sint Jansteen (Ze)
I148p	Doel (BeOv)
I152a	Eede (Ze)
I152p	Moerkerke (BeWv)
I154a	Kleit (BeOv)
I158p	Eeklo (BeOv)
I161p	Assenede (BeOv)
I167p	Zuiddorpe (Ze)
I168p	Koewacht (Ze)
I170p	Moerbeke (BeOv)
I171p	Stekene (BeOv)
I175p	Sint-Niklaas (BeOv)
I178p	Beveren (BeOv)
I184p	Sint-Joris-Ten-Distel (BeWv)
I192p	Zomergem (BeOv)
I200p	Evergem (BeOv)
I203p	Lochristie (BeOv)
I208p	Lokeren (BeOv)
I216p	Steendorp (BeOv)
I220p	Bornem (BeAnt)
I233p	Nevele (BeOv)
I241p	Gent (BeOv)
I252p	Kalken (BeOv)
I255p	Wetteren (BeOv)
I258p	Zele (BeOv)
I262p	Dendermonde (BeOv)
I273p	Buggenhout (BeOv)
I275p	Londerzeel (BeBr)
K005p	Rotterdam (ZH)
K008p	Berkel-Oud (ZH)
K014p	Gouderak (ZH)
K016p	Stolwijk (ZH)
K027p	Ameide (ZH)
K035p	Hei- en Boeicop (ZH)
K039p	Culemborg (Gl)
K043p	Oud-Charlois (ZH)
K054p	Lekkerkerk (ZH)
K060p	Bleskensgraaf (ZH)
K064p	Noordeloos (ZH)
K069p	Schelluinen (ZH)
K074p	Kedichem (ZH)
K078p	Deil (Gl)
K079p	Buurmalsen (Gl)
K087p	Klaaswaal (ZH)
K092p	Puttershoek (ZH)
K094a	Papendrecht (ZH)
K096p	Sliedrecht (ZH)
K098a	Boven-Hardinxveld (ZH)
K101p	Almkerk (NB)
K108p	Poederoijen (Gl)
K113p	Waardenburg (Gl)
K120a	Velddriel (Gl)
K122p	Ooltgensplaat (ZH)
K123p	Willemstad (NB)
K125p	Lage Zwaluwe (NB)
K150p	s-Hertogenbosch (NB)
K152p	Fijnaart (NB)
K155p	Zevenbergen (NB)
K160p	Breda (NB)
K163p	Dongen (NB)
K164p	Loon op Zand (NB)
K172p	Boxtel (NB)
K173p	Wouw (NB)
K174p	Roosendaal (NB)
K180p	Rijsbergen (NB)
K183p	Tilburg (NB)
K184p	Goirle (NB)
K185p	Oisterwijk (NB)
K187p	Oirschot (NB)
K188a	Huijbergen (NB)
K189p	Essen (BeAnt)
K190p	Zundert (NB)
K192p	Meer (BeAnt)
K194p	Alphen (NB)
K195p	Baarle-Nassau (NB)
K196p	Poppel (BeAnt)
K197p	Hilvarenbeek (NB)
K200p	Vessem (NB)
K201p	Kalmthout (BeAnt)
K204p	Wuustwezel (BeAnt)
K210p	Rijkevorsel (BeAnt)
K216p	Reusel (NB)
K222p	Hoevenen (BeAnt)
K229p	s-Gravenwezel (BeAnt)
K230p	Westmalle (BeAnt)
K237p	Turnhout (BeAnt)
K239p	Gierle (BeAnt)
K240p	Arendonk (BeAnt)
K244p	Antwerpen (BeAnt)
K247p	Burcht (BeAnt)
K249p	Hoboken (BeAnt)
K251p	Mortsel (BeAnt)
K257p	Oelegem (BeAnt)
K265p	Pulle (BeAnt)
K274p	Herentals (BeAnt)
K275a	Witgoor (BeAnt)
K277p	Balen (BeAnt)
K278p	Lommel (BeLb)
K287p	Boom (BeAnt)
K289p	Waarloos (BeAnt)
K291p	Lier (BeAnt)
K299p	Itegem (BeAnt)
K307p	Geel (BeAnt)
K309p	Tongerlo (BeAnt)
K312p	Meerhout (BeAnt)
K316p	Heppen (BeLb)
K330p	Mechelen (BeAnt)
K333b	Grasheide (BeAnt)
K342p	Booischot (BeAnt)
K348p	Herselt (BeAnt)
K353p	Tessenderlo (BeLb)
K358p	Beringen (BeLb)
K361p	Zolder (BeLb)
L001p	Wijk bij Duurstede (Ut)
L005p	Ingen (Gl)
L008a	Achterberg (Ut)
L008p	Rhenen (Ut)
L014p	Renkum (Gl)
L017p	Oosterbeek (Gl)
L020p	Zetten (Gl)
L021p	Heteren (Gl)
L029p	Giesbeek (Gl)
L030p	Angerlo (Gl)
L033p	Zevenaar (Gl)
L034p	Didam (Gl)
L037p	Doetinchem (Gl)
L044p	Tiel (Gl)
L052p	Dodewaard (Gl)
L054p	Druten (Gl)
L068p	Lent (Gl)
L071p	Nijmegen (Gl)
L082p	Zeddam (Gl)
L084p	s-Heerenberg (Gl)
L088p	Heerewaarden (Gl)
L091b	Kessel (NB)
L095p	Oijen (NB)
L110p	Grave (NB)
L119p	Groesbeek (Gl)
L148p	Den Dungen (NB)
L151p	Nistelrode (NB)
L153p	Reek (NB)
L157p	Zeeland (NB)
L160p	Haps (NB)
L163p	Ottersum (Lb)
L180p	Veghel (NB)
L183p	Boekel (NB)
L187a	Rijkevoort (NB)
L191p	Afferden (Lb)
L200p	Sint-Oedenrode (NB)
L204p	Beek (NB)
L208p	Bakel (NB)
L214p	Wanssum (Lb)
L224p	Oerle (NB)
L228p	Eindhoven (NB)
L234a	Gerwen (NB)
L237p	Helmond (NB)
L240p	Geldrop (NB)
L244p	Deurne (NB)
L245b	Tienray (Lb)
L249p	Grubbenvorst (Lb)
L262p	Leende (NB)
L264p	Someren (NB)
L265p	Meijel (Lb)
L266p	Sevenum (Lb)
L267p	Maasbree (Lb)
L270p	Tegelen (Lb)
L271p	Venlo (Lb)
L281p	Borkel (NB)
L285p	Budel (NB)
L286p	Hamont (BeLb)
L288a	Ospel (Lb)
L288p	Nederweert (Lb)
L290p	Panningen (Lb)
L293p	Roggel (Lb)
L299p	Reuver (Lb)
L314p	Overpelt (BeLb)
L316p	Kaulille (BeLb)
L320p	Hunsel (Lb)
L325p	Horn (Lb)
L329p	Roermond (Lb)
L355p	Peer (BeLb)
L356p	Grote-Brogel (BeLb)
L360p	Bree (BeLb)
L368p	Neeroeteren (BeLb)
L371p	Ophoven (BeLb)
L381p	Echt (Lb)
L387p	Posterholt (Lb)
L413p	Helchteren (BeLb)
L416p	Opglabbeek (BeLb)
L423p	Stokkem (BeLb)
L432p	Susteren (Lb)
M004p	Varsseveld (Gl)
M007p	Lichtenvoorde (Gl)
M009p	Aalten (Gl)
M010p	Bredevoort (Gl)
M013p	Winterswijk (Gl)
M040p	Silvolde (Gl)
M042p	Ulft (Gl)
N003p	Steene (FrVl)
N006p	Warhem (FrVl)
N014p	Leisele (BeWv)
N021p	Lo (BeWv)
N028a	Houthulst (BeWv)
N038p	Roeselare (BeWv)
N056p	Ledringhem (FrVl)
N065p	Woesten (BeWv)
N067p	Poperinge (BeWv)
N072p	Ieper (BeWv)
N078p	Moorslede (BeWv)
N085p	Hulste (BeWv)
N104p	Steenvoorde (FrVl)
N108p	Hondeghem (FrVl)
N130p	Wervik (BeWv)
N141p	Kortrijk (BeWv)
N145p	Bellegem (BeWv)
N163p	Nieuwkerke (BeWv)
N175p	Mouscron (Be)
O018p	Nazareth (BeOv)
O046p	Lede (BeOv)
O057p	Gijzegem (BeOv)
O061p	Aalst (BeOv)
O063p	Baardegem (BeOv)
O069p	Merchtem (BeBr)
O080p	Waregem (BeWv)
O082p	Deerlijk (BeWv)
O093p	Ooike (BeOv)
O098p	Oudenaarde (BeOv)
O113p	Munkzwalm (BeOv)
O139p	Heldergem (BeOv)
O148p	Denderleeuw (BeOv)
O152p	Ninove (BeOv)
O162p	Asse (BeBr)
O165p	Wemmel (BeBr)
O183p	Kaster (BeWv)
O187p	Avelgem (BeWv)
O202p	Nukerke (BeOv)
O208p	Nederbrakel (BeOv)
O217p	Ophasselt (BeOv)
O228p	Geraardsbergen (BeOv)
O232p	Galmaarden (BeBr)
O235p	Denderwindeke (BeOv)
O239p	Gooik (BeBr)
O255p	Lot (BeBr)
O265p	Ronse (BeOv)
O276p	Heikruis (BeBr)
O286p	Halle (BeBr)
P002p	Humbeek (BeBr)
P016p	Haacht (BeBr)
P018p	Kamperhout (BeBr)
P025p	Aarschot (BeBr)
P039p	Molenbeek (BeBr)
P041p	Diest (BeBr)
P047p	Loksbergen (BeLb)
P050p	Herk-De-Stad (BeLb)
P055p	Kermt (BeLb)
P078p	Meerbeek (BeBr)
P080p	Vossem (BeBr)
P088p	Leuven (BeBr)
P099p	Glabbeek (BeBr)
P102p	Boutersem (BeBr)
P108a	Ransberg (BeBr)
P112p	Zoutleeuw (BeBr)
P117p	Nieuwerkerken (BeLb)
P118p	Kozen (BeLb)
P124p	Oudergem (BeBr)
P133p	Overijse (BeBr)
P136p	Blanden (BeBr)
P145p	Tienen (BeBr)
P155p	Goetsenhoven (BeBr)
P168p	Neerwinden (BeBr)
P174p	Velm (BeLb)
P177a	Ordingen (BeLb)
P179p	Aalst (BeLb)
P188p	Hoepertingen (BeLb)
P199p	Alsemberg (BeBr)
P212p	Walshoutem (BeBr)
P214p	Montenaken (BeLb)
P219p	Jeuk (BeLb)
P220p	Mechelen-Bovelingen (BeLb)
Q002p	Hasselt (BeLb)
Q003p	Genk (BeLb)
Q005p	Zutendaal (BeLb)
Q009p	Maasmechelen (BeLb)
Q020p	Sittard (Lb)
Q032p	Schinnen (Lb)
Q035p	Brunssum (Lb)
Q071p	Diepenbeek (BeLb)
Q075p	Vliermaalroot (BeLb)
Q077p	Hoeselt (BeLb)
Q078p	Wellen (BeLb)
Q083p	Bilzen (BeLb)
Q091p	Veldwezelt (BeLb)
Q095p	Maastricht (Lb)
Q099p	Meerssen (Lb)
Q112p	Voerendaal (Lb)
Q121p	Kerkrade (Lb)
Q156p	Borgloon (BeLb)
Q162p	Tongeren (BeLb)
Q168p	s-Herenelderen (BeLb)
Q171p	Vlijtingen (BeLb)
Q179p	Zichen-Zussen-Bolder (BeLb)
Q193p	Gronsveld (Lb)
Q198p	Eijsden (Lb)
Q200p	s-Gravenvoeren (BeLb)
Q203p	Gulpen (Lb)
Q207p	Epen (Lb)
Q222p	Vaals (Lb)
Q240p	Lauw (BeLb)
S007p	Brouckerque (FrVl)
S015p	Bollezeele (FrVl)
S017p	Wulverdinghe (FrVl)
S021a	Nieurlet (FrVl)
French_1	Chevroux
French_2	Vaugondry
French_3	L'Auberson
French_4	Vallorbe
French_5	Le Sentier
French_6	Longirod
French_7	Commugny
French_8	Vullierens
French_9	Arnex
French_10	Villars-le-Terroir
French_11	Prahins
French_12	Montpreveyres
French_13	Charnex
French_14	Roche
French_15	Ormont-Dessus
French_16	Château-d'Oex
French_17	St-Gingolph
French_18	Collombey
French_19	Champéry
French_20	Martigny
French_21	Orsières
French_22	Lourtier
French_23	Fully
French_24	Conthey
French_25	Nendaz
French_26	Savièse
French_27	Ayent
French_28	Miège
French_29	Grône
French_30	Évolène
French_31	Grimentz
French_32	Collex
French_33	Vernier
French_34	Laconnex
French_35	Veyrier
French_36	Hermance
French_37	Semsalves
French_38	Montbovon
French_39	Arconciel
French_40	Avry-sur-Matran
French_41	Courtepin
French_42	Dompierre
French_43	Murist
French_44	Sugiez
French_45	Montalchez
French_46	Boudry
French_47	Corcelles
French_48	Landeron
French_49	Savagnier
French_50	Côte-aux-Fées
French_51	Noiraigue
French_52	Chaux-du-Milieu
French_53	Cerneux-Péquignot
French_54	Lamboing
French_55	Orvin
French_56	Plagne
French_57	Sombeval
French_58	Court
French_59	Vermes
French_60	Develier
French_61	Cerlatez
French_62	Courtedoux
ame_std	American English
can_std	Canadian English
cgr_col	Central German (Cologne)
cgr_hon	Central German (Honigberg)
cgr_mur	Central German (Murrhardt)
cgr_lux	Central German (Luxembourg)
dan_std	Danish
dut_ant	Dutch (Antwerp)
dut_bel	Belgian Dutch
dut_lim	Dutch (Limburg)
dut_ost	Dutch (Ostend)
dut_std	Dutch
eng_per	Australian English (Perth)
eng_buc	English (Buckie)
eng_del	Indian English (Delhi)
eng_lin	English (Lindisfarne)
eng_liv	English (Liverpool
eng_lon	English (London
eng_auc	New Zealand English (Auckland)
eng_igb	Nigerian English (Igbo)
eng_nca	English (North Carolina)
eng_sin	English (Singapore)
eng_joh	South African English (Johannisburg)
eng_std	English
eng_tyr	English (Tyrone)
far_std	Faroese
grm_std	German
hgr_als	High German (North Alsace)
hgr_bie	High German (Biel)
hgr_bod	High German (Bodensee)
hgr_gra	High German (Graubuenden)
hgr_her	High German (Herrlisheim)
hgr_ort	High German (Ortisei)
hgr_tue	High German (Tuebingen)
hgr_wal	High German (Walser)
ice_std	Icelandic
lgr_ach	Low German (Achterhoek)
lgr_bar	Low German (Bargstedt)
nor_sta	Norwegian (Stavanger)
prt_grm	Proto-Germanic
sco_std	Scottish
swe_ska	Swedish (Skane)
swe_sto	Swedish (Stockholm)
wfr_gro	West Frisian (Grou)
yid_nyo	Yiddish (New York)
Norwegian_01 	Asserøy
Norwegian_02 	Bjørnevatn
Norwegian_03 	Borre
Norwegian_04 	Brekke
Norwegian_05 	Bryne
Norwegian_06 	Brønnøysund
Norwegian_07 	Bygstad
Norwegian_08 	Bø
Norwegian_09 	Dokka
Norwegian_10 	Dovre
Norwegian_11 	Eggesbøneset
Norwegian_12 	Elnesvågen
Norwegian_13 	Fagerhaug
Norwegian_14 	Flåte
Norwegian_15 	Foldvik, Brunlanes
Norwegian_16 	Fyllingsdalen
Norwegian_17 	Fyresdal
Norwegian_18 	Gjøra
Norwegian_19 	Hafrsfjord
Norwegian_20 	Halden
Norwegian_21 	Hisøy
Norwegian_22 	Hundvåg
Norwegian_23 	Kaldfarnes
Norwegian_24 	Kristiansand
Norwegian_25 	Krogtoft, Borge
Norwegian_26 	Russland
Norwegian_27 	Lillehammer
Norwegian_28 	Lomnes
Norwegian_29 	Mandal
Norwegian_30 	Molde
Norwegian_31 	Mørkved
Norwegian_32 	Naas, Eide
Norwegian_33 	Nordstrand
Norwegian_34 	Orkanger
Norwegian_35 	Raundalen, Fagnastøl
Norwegian_36 	Ree
Norwegian_37 	Sandnessjøen
Norwegian_38 	Selfors
Norwegian_39 	Selfors
Norwegian_40 	Sortland
Norwegian_41 	Stange
Norwegian_42 	Stanghelle
Norwegian_43 	Stjørdal
Norwegian_44 	Stjørdal
Norwegian_45 	Stjørdalshalsen
Norwegian_46 	Støa
Norwegian_47 	Sætre
Norwegian_48 	Sørkjosen
Norwegian_49 	Tjøtta
Norwegian_50 	Tromsø
Norwegian_51 	Trondheim
Norwegian_52 	Tynset sentrum
Norwegian_53 	Tyskland
Norwegian_54 	Undheim
Norwegian_55 	Øra
Lombard_East	Lombard (East)
Lombard_West	Lombard (West)
bul	Bulgarian
ces	Czech
rus	Russian
pol	Polish
Hachijoo	Hachijō
Koochi	Kōchi
asparuhovo,_lom	Asparuhovo (lom)
asparuhovo,_prov	Asparuhovo (prov)
babjak,_razl	Babjak (razl)
bachkovo,_asgr	Bachkovo (asgr)
bagrenci,_kjust	Bagrenci (kjust)
balgari,_carev	Balgari (carev)
banishte,_brezn	Banishte (brezn)
bansko,_razl	Bansko (razl)
beglezh,_luk	Beglezh (luk)
belene,_svisht	Belene (svisht)
belica,_razl	Belica (razl)
bistrica,_blgr	Bistrica (blgr)
bogdanov_dol,_pern	Bogdanov dol (pern)
borisovo,_elh	Borisovo (elh)
bov,_svog	Bov (svog)
brashljan,_mtarn	Brashljan (mtarn)
buchin_prohod,_god	Buchin prohod (god)
caparevo,_sand	Caparevo (sand)
cerovica,_kjust	Cerovica (kjust)
chepelare,_asgr	Chepelare (asgr)
chernogorovo,_paz	Chernogorovo (paz)
chernomorec,_bs	Chernomorec (bs)
chukovec,_radom	Chukovec (radom)
dermanci,_luk	Dermanci (luk)
devenci,_luk	Devenci (luk)
devesilica,_krgr	Devesilica (krgr)
dichin,_vtarn	Dichin (vtarn)
dinevo,_hask	Dinevo (hask)
diva_slatina,_mont	Diva slatina (mont)
divdjadovo,_shum	Divdjadovo (shum)
dobarsko,_razl	Dobarsko (razl)
dobroselec,_topgr	Dobroselec (topgr)
dobroslavci,_sof	Dobroslavci (sof)
dobrotino,_gd	Dobrotino (gd)
dolna_beshovica,_vrach	Dolna beshovica (vrach)
dolna_melna,_tran	Dolna melna (tran)
dolna_riksa,_mont	Dolna riksa (mont)
dolna_srudena,_bel	Dolna srudena (bel)
dolni_bogrov,_sof	Dolni bogrov (sof)
dolno_levski,_pan	Dolno levski (pan)
dorkovo,_velgr	Dorkovo (velgr)
drabishna,_ivgr	Drabishna (ivgr)
dragizhevo,_vtarn	Dragizhevo (vtarn)
dragodanovo,_sliv	Dragodanovo (sliv)
dragoevo,_presl	Dragoevo (presl)
dragojchinci,_kjust	Dragojchinci (kjust)
elov_dol,_pk	Elov dol (pk)
enina,_kaz	Enina (kaz)
ezerovo,_parvom	Ezerovo (parvom)
furen,_vrach	Furen (vrach)
gabare,_bslat	Gabare (bslat)
gabra,_elpel	Gabra (elpel)
galata,_tetev	Galata (tetev)
ganchovec,_drjan	Ganchovec (drjan)
garmen,_gd	Garmen (gd)
garvan,_sil	Garvan (sil)
gega,_petr	Gega (petr)
glozhene,_orjah	Glozhene (orjah)
golema_rakovica,_elpel	Golema rakovica (elpel)
golemo_malovo,_sliven	Golemo malovo (sliven)
golica,_varn	Golica (varn)
goljama_zheljazna,_tetev	Goljama zheljazna (tetev)
goljamo_shivachevo,_sliv	Goljamo shivachevo (sliv)
gorna_rosica,_sevl	Gorna rosica (sevl)
gorni_varpishta,_drjan	Gorni varpishta (drjan)
govedarci,_sam	Govedarci (sam)
gradec,_vd	Gradec (vd)
huhla,_ivgr	Huhla (ivgr)
hvojna,_asgr	Hvojna (asgr)
indzhe_vojvoda,_mtarn	Indzhe vojvoda (mtarn)
ivanski,_shum	Ivanski (shum)
izvorovo,_harm	Izvorovo (harm)
javorovo,_asgr	Javorovo (asgr)
kalipetrovo,_sil	Kalipetrovo (sil)
kalojanovo,_plov	Kalojanovo (plov)
karaisen,_pavl	Karaisen (pavl)
karanovo,_ajt	Karanovo (ajt)
kaspichan,_np	Kaspichan (np)
kolju_marinovo,_chirp	Kolju marinovo (chirp)
kopilovci,_mont	Kopilovci (mont)
koprivshtica,_pird	Koprivshtica (pird)
korten,_nzag	Korten (nzag)
kostenec,_iht	Kostenec (iht)
kovachevci,_sam	Kovachevci (sam)
kozichino,_pom	Kozichino (pom)
kramolin,_sevl	Kramolin (sevl)
kravenik,_sevl	Kravenik (sevl)
kreta,_vrach	Kreta (vrach)
krivnja,_razgr	Krivnja (razgr)
levunovo,_sand	Levunovo (sand)
